venue_id,utc_date,venue_type,floor_area_sqm,outside_temperature_c,observed_hours,electricity_kwh,data_source
Eagle_food_Jennifer,2016-01-01,food_service,3307.8,3.19,24,1284.748,BDG2 v1.0
Eagle_food_Jennifer,2016-01-02,food_service,3307.8,1.46,24,1258.909,BDG2 v1.0
Eagle_food_Jennifer,2016-01-03,food_service,3307.8,1.90,24,1294.593,BDG2 v1.0
Eagle_food_Jennifer,2016-01-04,food_service,3307.8,-3.21,24,1291.333,BDG2 v1.0
Eagle_food_Jennifer,2016-01-05,food_service,3307.8,-7.64,24,1365.387,BDG2 v1.0
Eagle_food_Jennifer,2016-01-06,food_service,3307.8,-3.71,24,1112.294,BDG2 v1.0
Eagle_food_Jennifer,2016-01-07,food_service,3307.8,0.72,24,1114.914,BDG2 v1.0
Eagle_food_Jennifer,2016-01-08,food_service,3307.8,3.82,24,1156.090,BDG2 v1.0
Eagle_food_Jennifer,2016-01-09,food_service,3307.8,6.77,24,1089.844,BDG2 v1.0
Eagle_food_Jennifer,2016-01-10,food_service,3307.8,11.47,24,1098.438,BDG2 v1.0
Eagle_food_Jennifer,2016-01-11,food_service,3307.8,-1.15,24,1105.389,BDG2 v1.0
Eagle_food_Jennifer,2016-01-12,food_service,3307.8,-1.72,24,1139.895,BDG2 v1.0
Eagle_food_Jennifer,2016-01-13,food_service,3307.8,-4.60,24,1076.532,BDG2 v1.0
Eagle_food_Jennifer,2016-01-14,food_service,3307.8,-0.79,24,1173.876,BDG2 v1.0
Eagle_food_Jennifer,2016-01-15,food_service,3307.8,3.90,24,1207.352,BDG2 v1.0
Eagle_food_Jennifer,2016-01-16,food_service,3307.8,6.76,24,1153.033,BDG2 v1.0
Eagle_food_Jennifer,2016-01-17,food_service,3307.8,0.69,24,1370.521,BDG2 v1.0
Eagle_food_Jennifer,2016-01-18,food_service,3307.8,-5.42,24,2234.251,BDG2 v1.0
Eagle_food_Jennifer,2016-01-19,food_service,3307.8,-6.23,24,2497.525,BDG2 v1.0
Eagle_food_Jennifer,2016-01-20,food_service,3307.8,-1.60,24,2813.284,BDG2 v1.0
Eagle_food_Jennifer,2016-01-21,food_service,3307.8,-1.43,24,2795.242,BDG2 v1.0
Eagle_food_Jennifer,2016-01-22,food_service,3307.8,-4.76,24,2735.584,BDG2 v1.0
Eagle_food_Jennifer,2016-01-23,food_service,3307.8,-3.67,24,2621.154,BDG2 v1.0
Eagle_food_Jennifer,2016-01-24,food_service,3307.8,-2.76,24,2650.111,BDG2 v1.0
Eagle_food_Jennifer,2016-01-25,food_service,3307.8,-2.43,24,2758.912,BDG2 v1.0
Eagle_food_Jennifer,2016-01-26,food_service,3307.8,2.02,24,2731.595,BDG2 v1.0
Eagle_food_Jennifer,2016-01-27,food_service,3307.8,4.28,24,2791.826,BDG2 v1.0
Eagle_food_Jennifer,2016-01-28,food_service,3307.8,-1.14,24,2754.714,BDG2 v1.0
Eagle_food_Jennifer,2016-01-29,food_service,3307.8,0.22,24,2793.620,BDG2 v1.0
Eagle_food_Jennifer,2016-01-30,food_service,3307.8,-0.48,24,2532.150,BDG2 v1.0
Eagle_food_Jennifer,2016-01-31,food_service,3307.8,4.69,24,2613.925,BDG2 v1.0
Eagle_food_Jennifer,2016-02-01,food_service,3307.8,8.22,24,2927.812,BDG2 v1.0
Eagle_food_Jennifer,2016-02-02,food_service,3307.8,4.75,24,2871.325,BDG2 v1.0
Eagle_food_Jennifer,2016-02-03,food_service,3307.8,9.03,24,2812.963,BDG2 v1.0
Eagle_food_Jennifer,2016-02-04,food_service,3307.8,9.56,24,2744.558,BDG2 v1.0
Eagle_food_Jennifer,2016-02-05,food_service,3307.8,2.03,24,2666.845,BDG2 v1.0
Eagle_food_Jennifer,2016-02-06,food_service,3307.8,-0.23,24,2430.603,BDG2 v1.0
Eagle_food_Jennifer,2016-02-07,food_service,3307.8,1.47,24,2400.395,BDG2 v1.0
Eagle_food_Jennifer,2016-02-08,food_service,3307.8,2.52,24,2610.545,BDG2 v1.0
Eagle_food_Jennifer,2016-02-09,food_service,3307.8,-0.63,24,2757.509,BDG2 v1.0
Eagle_food_Jennifer,2016-02-10,food_service,3307.8,-0.08,24,2579.176,BDG2 v1.0
Eagle_food_Jennifer,2016-02-11,food_service,3307.8,-5.21,24,2589.955,BDG2 v1.0
Eagle_food_Jennifer,2016-02-12,food_service,3307.8,-6.70,24,2802.729,BDG2 v1.0
Eagle_food_Jennifer,2016-02-13,food_service,3307.8,-7.98,24,2521.680,BDG2 v1.0
Eagle_food_Jennifer,2016-02-14,food_service,3307.8,-12.25,24,2779.123,BDG2 v1.0
Eagle_food_Jennifer,2016-02-15,food_service,3307.8,-6.15,24,3035.952,BDG2 v1.0
Eagle_food_Jennifer,2016-02-16,food_service,3307.8,7.93,24,2773.512,BDG2 v1.0
Eagle_food_Jennifer,2016-02-17,food_service,3307.8,2.69,24,2919.618,BDG2 v1.0
Eagle_food_Jennifer,2016-02-18,food_service,3307.8,-0.65,24,3046.279,BDG2 v1.0
Eagle_food_Jennifer,2016-02-19,food_service,3307.8,-1.55,24,2946.896,BDG2 v1.0
Eagle_food_Jennifer,2016-02-20,food_service,3307.8,9.03,24,2495.239,BDG2 v1.0
Eagle_food_Jennifer,2016-02-21,food_service,3307.8,9.45,24,2693.771,BDG2 v1.0
Eagle_food_Jennifer,2016-02-22,food_service,3307.8,5.80,24,2875.121,BDG2 v1.0
Eagle_food_Jennifer,2016-02-23,food_service,3307.8,2.87,24,3077.221,BDG2 v1.0
Eagle_food_Jennifer,2016-02-24,food_service,3307.8,9.62,24,3222.391,BDG2 v1.0
Eagle_food_Jennifer,2016-02-25,food_service,3307.8,8.86,24,2997.018,BDG2 v1.0
Eagle_food_Jennifer,2016-02-26,food_service,3307.8,1.16,24,3004.330,BDG2 v1.0
Eagle_food_Jennifer,2016-02-27,food_service,3307.8,0.43,24,2792.015,BDG2 v1.0
Eagle_food_Jennifer,2016-02-28,food_service,3307.8,7.94,24,2803.874,BDG2 v1.0
Eagle_food_Jennifer,2016-02-29,food_service,3307.8,9.28,24,2974.965,BDG2 v1.0
Eagle_food_Jennifer,2016-03-01,food_service,3307.8,8.43,24,2979.078,BDG2 v1.0
Eagle_food_Jennifer,2016-03-02,food_service,3307.8,6.12,24,2886.393,BDG2 v1.0
Eagle_food_Jennifer,2016-03-03,food_service,3307.8,-0.83,24,2921.800,BDG2 v1.0
